count,text
0,Celebrate the women of Wentworth at the annual fall Women's Lunch! This year's event features keynote speaker Karyn… https://t.co/kM3tZmIM2I
0,"Celebrate Wentworth's diverse community this morning at our student, faculty, and staff panel in the Beatty Multipu… https://t.co/gLzL6xik4P"
0,Calling all soon to be graduates! @WITCoopsCareers will have a photo booth set up from 11:30am-1:30pm on the Quad.… https://t.co/A0vgCsVpnl
0,"BBQ today to welcome President Mark Thompson to Wentworth! At 11:30am on the front lawn. All students, faculty and… https://t.co/mNKTZSjqgD"
0,Associate Professor Greg Sirokman explains how video games can play a role in higher education… https://t.co/YUcdbTsP8O
0,Are you and your team ready for this afternoon's campus scavenger hunt? Be sure to join us afterwords for the recep… https://t.co/YXILGmVf0u
0,A big Wentworth welcome to everyone stepping on campus this morning for our Fall Open House! Remember to check in a… https://t.co/XTZK7RFaak
0,@witathletics @WIT_Hockey @ESPNAssignDesk @Buccigross https://t.co/5RyczCrYeG
0,$5 BBQ starts at 11:30am today on the front lawn. This week's special is jerk chicken!
0,"""Applied Mathematics is one of the hidden gems of Wentworth – everyone takes math classes from the department, but… https://t.co/QXj75t9tzO"
