count,text
12,"@UTAustin2020 @TexasFootball @TexasSteveHicks @nytimes @HookEm @TexasLonghorns @TEDTalks Last one:

This Longhorn h… https://t.co/n5tZyA9l79"
11,New research from @utexascoe shows everyday interventions have great promise for young children with autism:… https://t.co/n2I2PO2aLo
10,"Join us on Facebook Live at 11 a.m. for the @texascarillon Winter Concert 

❄️🤘☃️

https://t.co/y5Z4Ol80XQ https://t.co/qUey9hvLUK"
10,"Humanity and Google Sheets | @LiberalArtsUT professor Julie Hardwick teaches students how to analyze evidence, link… https://t.co/fhaqYt8xCw"
10,"Download the app, and pink, cartoonish flamingos will appear all over your screen. 

Developed by a @ut_aah profess… https://t.co/vIaaUJXsQI"
8,@BreneBrown We’re so excited 🤘🤘🤘 https://t.co/6ZHa3uGeRp
6,"The visit may have been brief, but it certainly packed a punch: https://t.co/XenqcbV7Rz via @TheAlcalde"
3,@actn @BreneBrown It's going to be an incredible night 🤘🤘🤘
3,"@KrystalKS8 @BreneBrown @UTAustin2020 You can watch live online 🤘 We'll broadcast the entire Commencement ceremony,… https://t.co/ECr0lKrcn1"
2,"@cflores727 @BreneBrown We'll livestream Commencement, including @BreneBrown's address, so make sure you tune in online 🤘"
2,@TBoneGallagher @BreneBrown See you there 🤘
2,"@AmySexton71 @BreneBrown Horns up, @AmySexton71 🤘🤘🤘"
0,@jefffrost9 @BreneBrown It's definitely an incredible group: https://t.co/QDCrseFxKR https://t.co/CXwKI8YhnD
